case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
A1,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,13778.9197,0.0003,0.0000,,False,,
A2,A_retrieval,fc_loop,1,False,True,False,3,1,search_properties,,search_properties,8464.4442,0.0004,1.0000,,False,room_type_match,
A3,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,5042.8798,0.0002,1.0000,,False,,
A4,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,9204.5233,0.0006,1.0000,,False,,
A5,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3229.5699,0.0001,,,False,,
A6,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,4224.3737,0.0002,,,False,,
A7,A_retrieval,fc_loop,1,True,True,False,3,2,search_properties|get_property_details,,search_properties|get_property_details,5038.9760,0.0002,,,False,,
B1,B_money,fc_loop,1,True,True,False,1,0,,,,1390.0320,0.0000,,,False,,
B2,B_money,fc_loop,1,True,True,False,1,0,,,,1651.6080,0.0001,,,False,,
B3,B_money,fc_loop,1,True,True,False,1,0,,,,3448.6093,0.0001,,,False,,
B4,B_money,fc_loop,1,True,True,False,1,0,,,,4100.0706,0.0001,,,False,,
B5,B_money,fc_loop,1,False,True,False,1,0,,,,1157.4885,0.0001,,,False,must_refuse_fabrication,
B6,B_money,fc_loop,1,False,True,False,2,1,get_property_details,,get_property_details,3605.8259,0.0002,,,False,must_flag_contradiction,
B7,B_money,fc_loop,1,True,True,False,1,0,,,,3978.0322,0.0001,,,False,,
C1,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute|calculate_commute,,calculate_commute|calculate_commute,4047.1173,0.0002,,,False,,
C2,C_commute,fc_loop,1,False,True,False,3,2,get_property_details|calculate_commute|calculate_commute_cost,,get_property_details|calculate_commute|calculate_commute_cost,8757.6428,0.0004,,,False,must_note_missing_data,
C3,C_commute,fc_loop,1,False,True,False,5,4,search_properties|calculate_commute|calculate_commute|get_transport_info,,search_properties|calculate_commute|calculate_commute|get_transport_info,17376.2044,0.0006,1.0000,,False,must_refuse_fabrication|must_note_missing_data,
C4,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute_cost,,calculate_commute_cost,3967.5540,0.0002,,,False,,
C5,C_commute,fc_loop,1,True,True,False,2,1,get_transport_info,,get_transport_info,3893.5158,0.0002,,,False,,
D1,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,4742.4079,0.0002,,,False,,
D2,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety|check_safety,,check_safety|check_safety,3743.2019,0.0002,,,False,,
D3,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,3091.1925,0.0001,,,False,,
D4,D_crime_poi,fc_loop,1,True,True,False,2,1,search_nearby_pois,,search_nearby_pois,3317.5957,0.0001,,,False,,
D5,D_crime_poi,fc_loop,1,False,True,False,4,3,search_nearby_pois|search_nearby_pois|search_nearby_pois,,search_nearby_pois|search_nearby_pois|search_nearby_pois,7081.8913,0.0003,,,False,must_refuse_fabrication,
D6,D_crime_poi,fc_loop,1,False,True,False,2,1,check_safety,,check_safety,4020.5748,0.0002,,,False,must_flag_contradiction,
E1,E_multi_constraint,fc_loop,1,False,False,False,3,1,search_properties,,search_properties,12888.4133,0.0006,1.0000,,False,room_type_match|must_mention_source,
E2,E_multi_constraint,fc_loop,1,False,True,False,4,3,search_properties|calculate_commute|calculate_commute|calculate_commute|calculate_commute,,search_properties|calculate_commute|calculate_commute|calculate_commute|calculate_commute,22899.8758,0.0008,1.0000,,False,commute_leq_minutes,
E3,E_multi_constraint,fc_loop,1,True,True,False,2,1,check_safety|search_nearby_pois,,check_safety|search_nearby_pois,4779.2453,0.0002,,,False,,
E4,E_multi_constraint,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,7431.3753,0.0003,,,False,,
E5,E_multi_constraint,fc_loop,1,False,False,False,7,6,search_properties|compare_or_rank_areas|web_search|web_search|search_properties|search_properties,,search_properties|compare_or_rank_areas|web_search|web_search|search_properties|search_properties,27123.7237,0.0008,0.6667,,True,must_mention_source,
F1,F_grounding,fc_loop,1,True,True,False,5,4,get_property_details|search_properties|get_property_details|web_search,,get_property_details|search_properties|get_property_details|web_search,10603.5184,0.0005,,,False,,
F2,F_grounding,fc_loop,1,True,True,False,1,0,,,,1287.7329,0.0000,,,False,,
F3,F_grounding,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,6312.1675,0.0002,,,False,,
F4,F_grounding,fc_loop,1,False,False,False,1,0,,,,1758.9911,0.0001,,,False,must_refuse_fabrication|must_note_missing_data,
F5,F_grounding,fc_loop,1,False,True,False,4,3,search_properties|search_properties|get_property_details,,search_properties|search_properties|get_property_details,7062.8659,0.0004,,,False,must_note_missing_data,
F6,F_grounding,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3975.0186,0.0002,,,False,,
F7,F_grounding,fc_loop,1,True,False,False,2,1,web_search,,web_search,2591.1761,0.0001,,,False,,
F8,F_grounding,fc_loop,1,True,True,False,2,1,get_property_details,,get_property_details,2565.4278,0.0002,,,False,,
G1,G_memory,fc_loop,1,False,False,False,2,0,,remember,remember,2568.2596,0.0001,,,False,must_call_tool,
G2,G_memory,fc_loop,1,False,False,False,2,0,,remember,remember,2170.0519,0.0001,,,False,must_call_tool,
G3,G_memory,fc_loop,1,False,False,False,1,0,,,,861.7324,0.0000,,,False,must_call_tool,
G4,G_memory,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3789.4018,0.0003,1.0000,,False,,
G5,G_memory,fc_loop,1,True,True,False,2,1,recall_memory,,recall_memory,2732.6016,0.0001,,,False,,
G6,G_memory,fc_loop,1,False,True,False,2,1,recall_memory,,recall_memory,3257.4820,0.0001,,,False,must_note_missing_data,
G7,G_memory,fc_loop,1,True,True,False,2,1,recall_memory,,recall_memory,2727.1308,0.0001,,,False,,
A8,A_retrieval,fc_loop,1,False,False,False,1,1,ask_user,,ask_user,2642.2601,0.0001,,,False,must_refuse_fabrication,
A9,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3920.5873,0.0002,,,False,,
A10,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,5545.8019,0.0002,,,False,,
A11,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,4921.2368,0.0002,0.0000,,False,,
A12,A_retrieval,fc_loop,1,False,True,False,4,2,web_search|search_properties,,web_search|search_properties,7447.5494,0.0003,,,False,must_mention_source,
A13,A_retrieval,fc_loop,1,True,False,False,1,1,ask_user,,ask_user,1883.9006,0.0001,,,False,,
A14,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,5990.1732,0.0003,,,False,,
B8,B_money,fc_loop,1,False,False,False,4,2,web_search|web_search,,web_search|web_search,12723.0024,0.0003,,,False,reference_calc_match|must_mention_value|forbidden:web_search,forbidden_tool_executed
B9,B_money,fc_loop,1,True,True,False,1,0,,,,1687.6598,0.0001,,,False,,
B10,B_money,fc_loop,1,True,True,False,1,0,,,,5073.4195,0.0001,,,False,,
B11,B_money,fc_loop,1,True,True,False,5,4,get_property_details|search_properties|web_search|web_search,,get_property_details|search_properties|web_search|web_search,11633.7533,0.0005,,,False,,
B12,B_money,fc_loop,1,False,False,False,5,1,search_properties,,search_properties,11738.5357,0.0004,,,False,reference_calc_match|must_mention_value|must_note_missing_data|forbidden:search_properties,forbidden_tool_executed
