case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
A1,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,8858.8715,0.0002,0.0000,,False,,
A2,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,7745.6744,0.0005,1.0000,,False,,
A3,A_retrieval,fc_loop,1,True,True,False,4,3,search_properties|web_search|web_search,,search_properties|web_search|web_search,10543.4790,0.0004,1.0000,,False,,
A4,A_retrieval,fc_loop,1,False,True,False,2,1,search_properties,,search_properties,7196.7568,0.0003,1.0000,,False,no_fabricated_number,no_evidence_numbers
A5,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3327.3286,0.0001,,,False,,
A6,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3706.2914,0.0002,,,False,,
A7,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3502.0842,0.0002,,,False,,
B1,B_money,fc_loop,1,True,True,False,1,0,,,,1223.3312,0.0000,,,False,,
B2,B_money,fc_loop,1,True,True,False,1,0,,,,1233.9743,0.0001,,,False,,
B3,B_money,fc_loop,1,True,True,False,1,0,,,,2763.3162,0.0001,,,False,,
B4,B_money,fc_loop,1,False,True,False,4,2,web_search|web_search,,web_search|web_search,12985.9560,0.0003,,,False,reference_calc_match|must_mention_value,
B5,B_money,fc_loop,1,False,True,False,1,0,,,,1249.9242,0.0000,,,False,must_refuse_fabrication,
B6,B_money,fc_loop,1,True,True,False,3,2,get_property_details|search_properties,,get_property_details|search_properties,5258.0579,0.0003,,,False,,
B7,B_money,fc_loop,1,False,True,False,1,0,,,,2595.1430,0.0001,,,False,reference_calc_match|must_mention_value,
C1,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute|calculate_commute,,calculate_commute|calculate_commute,4018.9805,0.0002,,,False,,
C2,C_commute,fc_loop,1,False,True,False,3,2,get_property_details|calculate_commute|calculate_commute_cost,,get_property_details|calculate_commute|calculate_commute_cost,9131.6833,0.0003,,,False,must_note_missing_data,
C3,C_commute,fc_loop,1,False,True,False,2,1,calculate_commute,,calculate_commute,2661.5778,0.0001,,,False,must_note_missing_data,
C4,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute_cost,,calculate_commute_cost,4387.2888,0.0002,,,False,,
C5,C_commute,fc_loop,1,True,True,False,4,2,get_transport_info|get_transport_info,,get_transport_info|get_transport_info,8003.6555,0.0004,,,False,,
D1,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,4726.0409,0.0002,,,False,,
D2,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety|check_safety,,check_safety|check_safety,4759.8648,0.0002,,,False,,
D3,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,3872.4992,0.0001,,,False,,
D4,D_crime_poi,fc_loop,1,True,True,False,2,1,search_nearby_pois,,search_nearby_pois,2511.4711,0.0001,,,False,,
D5,D_crime_poi,fc_loop,1,False,True,False,5,4,search_nearby_pois|search_nearby_pois|web_search|search_nearby_pois,,search_nearby_pois|search_nearby_pois|web_search|search_nearby_pois,9374.4576,0.0004,,,False,must_refuse_fabrication,
D6,D_crime_poi,fc_loop,1,False,True,False,2,1,check_safety,,check_safety,4272.6175,0.0001,,,False,must_flag_contradiction,
E1,E_multi_constraint,fc_loop,1,True,False,False,4,3,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost|search_nearby_pois,,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost|search_nearby_pois|search_nearby_pois,27067.5502,0.0008,1.0000,search_nearby_pois:batch,True,,
E2,E_multi_constraint,fc_loop,1,True,True,False,6,5,search_properties|calculate_commute_cost|calculate_commute_cost|calculate_commute|calculate_commute|get_transport_info|get_transport_info|check_transport_cost,,search_properties|calculate_commute_cost|calculate_commute_cost|calculate_commute|calculate_commute|get_transport_info|get_transport_info|check_transport_cost,23521.7811,0.0010,1.0000,,False,,
E3,E_multi_constraint,fc_loop,1,True,True,False,2,1,check_safety|search_nearby_pois,,check_safety|search_nearby_pois,3789.0818,0.0002,,,False,,
E4,E_multi_constraint,fc_loop,1,False,True,False,3,1,search_properties,,search_properties,7757.5119,0.0002,,,False,must_refuse_fabrication,
E5,E_multi_constraint,fc_loop,1,False,False,False,7,5,search_properties|compare_or_rank_areas|web_search|web_search|search_properties,,search_properties|compare_or_rank_areas|web_search|web_search|search_properties,22312.7278,0.0009,1.0000,,False,must_mention_source,
F1,F_grounding,fc_loop,1,True,True,False,2,1,get_property_details,,get_property_details,3617.2420,0.0001,,,False,,
F2,F_grounding,fc_loop,1,True,True,False,1,0,,,,1450.7963,0.0001,,,False,,
F3,F_grounding,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3357.5082,0.0002,,,False,,
F4,F_grounding,fc_loop,1,False,False,False,1,0,,,,1926.6462,0.0001,,,False,must_refuse_fabrication|must_note_missing_data,
F5,F_grounding,fc_loop,1,True,True,False,4,3,search_properties|web_search|web_search,,search_properties|web_search|web_search,9289.6813,0.0002,,,False,,
F6,F_grounding,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3728.0100,0.0002,,,False,,
F7,F_grounding,fc_loop,1,True,False,False,3,2,web_search|search_properties,,web_search|search_properties,4769.4818,0.0003,,,False,,
F8,F_grounding,fc_loop,1,True,True,False,2,1,get_property_details,,get_property_details,2925.9117,0.0002,,,False,,
G1,G_memory,fc_loop,1,False,False,False,2,0,,remember,remember,2411.4329,0.0001,,,False,must_call_tool,
G2,G_memory,fc_loop,1,False,False,False,3,1,search_properties,,search_properties,6873.5011,0.0004,1.0000,,False,must_call_tool|forbidden:search_properties,forbidden_tool_executed
G3,G_memory,fc_loop,1,False,False,False,1,0,,,,857.6377,0.0000,,,False,must_call_tool,
G4,G_memory,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,4627.9936,0.0004,1.0000,,False,,
G5,G_memory,fc_loop,1,True,True,False,2,1,recall_memory,,recall_memory,3008.7980,0.0001,,,False,,
G6,G_memory,fc_loop,1,False,True,False,2,1,recall_memory,,recall_memory,2208.3174,0.0001,,,False,must_note_missing_data,
G7,G_memory,fc_loop,1,True,True,False,7,4,recall_memory|search_properties|compare_or_rank_areas|search_properties,,recall_memory|search_properties|compare_or_rank_areas|search_properties,22791.3690,0.0009,0.7500,,False,,
A8,A_retrieval,fc_loop,1,False,False,False,1,1,ask_user,,ask_user,2204.5821,0.0001,,,False,must_refuse_fabrication,
A9,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3615.4429,0.0003,,,False,,
A10,A_retrieval,fc_loop,1,False,True,False,2,1,search_properties,,search_properties,3751.6202,0.0002,,,False,must_refuse_fabrication,
A11,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,5019.0071,0.0002,0.0000,,False,,
A12,A_retrieval,fc_loop,1,False,True,False,4,2,web_search|search_properties,,web_search|search_properties,7204.7930,0.0003,,,False,must_mention_source|must_refuse_fabrication,
A13,A_retrieval,fc_loop,1,True,False,False,1,1,ask_user,,ask_user,1838.7886,0.0001,,,False,,
A14,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,5503.2981,0.0003,,,False,,
B8,B_money,fc_loop,1,False,False,False,4,2,web_search|web_search,,web_search|web_search,13001.9107,0.0003,,,False,reference_calc_match|must_mention_value|forbidden:web_search,forbidden_tool_executed
B9,B_money,fc_loop,1,True,True,False,1,0,,,,1443.3237,0.0001,,,False,,
B10,B_money,fc_loop,1,True,True,False,1,0,,,,4202.7696,0.0001,,,False,,
B11,B_money,fc_loop,1,True,True,False,5,4,get_property_details|search_properties|web_search|web_search,,get_property_details|search_properties|web_search|web_search,12355.2110,0.0004,,,False,,
B12,B_money,fc_loop,1,False,False,False,5,1,search_properties,,search_properties,12308.3409,0.0004,,,False,reference_calc_match|must_mention_value|must_note_missing_data|must_refuse_fabrication|forbidden:search_properties,forbidden_tool_executed
B13,B_money,fc_loop,1,False,True,False,4,2,search_properties|web_search,,search_properties|web_search,11271.5532,0.0005,1.0000,,False,must_mention_source|reference_calc_match|must_mention_value,
B14,B_money,fc_loop,1,False,False,False,4,2,web_search|web_search,,web_search|web_search,12266.5814,0.0003,,,False,reference_calc_match|must_mention_value|forbidden:web_search,forbidden_tool_executed
B15,B_money,fc_loop,1,True,True,False,1,0,,,,4353.4675,0.0001,,,False,,
